id,signed_up_at,has_activated_card,closed_account_at,tnc_country_group,os,first_name,last_name
u15586,2019-02-28,False,,ITA       ,android,Bruce,Fuller
u38150,2020-05-28,False,,DEU       ,android,Mitchell,Coleman
u11771,2018-11-01,True,,FRA       ,iOS,Julian,Thornton
u94,2015-04-29,True,,DEU       ,iOS,Stella,Norton
u36971,2020-05-23,False,2020-06-09,FRA       ,iOS,Lois,Lee
u22123,2019-09-03,True,,FRA       ,android,Charles,McKinney
u37092,2020-05-24,False,2020-06-12,FRA       ,android,John,Spencer
u37125,2020-05-24,False,,FRA       ,iOS,Alan,Norton
u8295,2018-07-08,True,,ESP       ,android,Tom,Lloyd
u16081,2019-03-14,True,,FRA       ,android,Logan,Harrington
u31528,2020-03-24,True,,ESP       ,iOS,Floyd,Hampton
u8109,2018-06-30,True,,ITA       ,iOS,Leon,Allen
u24994,2019-11-10,True,,FRA       ,iOS,Randy,Bailey
u17256,2019-04-22,True,,FRA       ,iOS,Christina,Holt
u33411,2020-04-26,False,,FRA       ,android,Maude,Tate
u14004,2019-01-11,True,,FRA       ,android,Roxie,Singleton
u19150,2019-06-23,True,,DEU       ,iOS,Terry,Franklin
u10190,2018-09-13,True,,ESP       ,iOS,May,Martin
u24967,2019-11-09,True,,FRA       ,iOS,Jeffery,Larson
u21378,2019-08-18,True,,FRA       ,android,Eunice,Mullins
u946,2016-02-01,True,,DEU       ,android,Justin,Silva
u26825,2019-12-24,True,,ESP       ,android,Amy,Obrien
u25335,2019-11-18,True,,FRA       ,iOS,Ronald,Murray
u17861,2019-05-12,False,,GrE       ,android,Isaiah,Warner
u6429,2018-03-21,True,2020-07-07,GrE       ,android,Scott,Simon
u6188,2018-03-05,True,,FRA       ,iOS,Elizabeth,Peters
u21308,2019-08-17,True,,DEU       ,android,Martha,Duncan
u16414,2019-03-25,True,,ESP       ,android,Jack,Richards
u594,2015-11-24,True,,DEU       ,android,Gussie,Turner
u39461,2020-06-02,False,2020-07-02,AUT       ,android,Mason,Wade
u2871,2017-04-30,True,,FRA       ,android,Eric,Palmer
u38192,2020-05-28,False,2020-08-07,FRA       ,android,Jonathan,Murphy
u10120,2018-09-10,True,,DEU       ,iOS,Amanda,Butler
u13842,2019-01-06,True,,DEU       ,iOS,Victor,Mack
u19890,2019-07-14,False,2020-07-02,FRA       ,iOS,Estella,Wright
u13957,2019-01-10,True,,DEU       ,iOS,Genevieve,Davidson
u4712,2017-11-17,True,,ITA       ,iOS,Ina,Higgins
u5771,2018-02-06,True,,FRA       ,iOS,Eugenia,Bishop
u18851,2019-06-14,True,,FRA       ,android,Eula,Rodgers
u20862,2019-08-07,True,2020-06-13,FRA       ,iOS,Lydia,Richards
u10391,2018-09-19,True,2020-12-29,DEU       ,android,Lucas,Potter
u27719,2020-01-13,False,,GrE       ,android,Adele,Tate
u5604,2018-01-23,True,,DEU       ,android,Amy,Johnston
u8194,2018-07-04,True,,FRA       ,android,Victoria,Jensen
u15893,2019-03-09,True,,FRA       ,android,Antonio,Pratt
u36547,2020-05-21,False,2020-06-17,FRA       ,android,Isaac,Harper
u9260,2018-08-13,True,,DEU       ,iOS,George,Clark
u24245,2019-10-22,True,,ESP       ,android,Gavin,Johnston
u22994,2019-09-22,True,,GrE       ,iOS,Derrick,Bennett
u28109,2020-01-20,True,,ITA       ,iOS,Mina,Fields
u40134,2020-06-06,False,,ITA       ,android,Edith,Henderson
u27402,2020-01-06,True,2020-06-17,FRA       ,android,Nora,Bass
u32291,2020-04-09,True,,NEuro     ,android,Lida,McKenzie
u33863,2020-05-01,False,,FRA       ,android,Anthony,Barker
u41714,2020-06-14,False,2020-06-27,DEU       ,android,Aiden,Cohen
u22327,2019-09-08,True,,ITA       ,android,Addie,Ferguson
u9192,2018-08-11,False,2020-06-25,FRA       ,iOS,Noah,Hart
u4846,2017-11-27,True,,FRA       ,iOS,Mable,French
u31227,2020-03-19,True,,FRA       ,android,Ronald,Campbell
u21835,2019-08-28,True,,DEU       ,iOS,Henrietta,Adams
u2469,2017-02-26,True,2020-01-17,ITA       ,android,Gordon,Torres
u11897,2018-11-06,True,,FRA       ,iOS,Nathaniel,Gordon
u10035,2018-09-07,True,,DEU       ,iOS,Gavin,Young
u714,2015-12-26,True,,DEU       ,android,Myra,Dean
u24834,2019-11-05,True,,ESP       ,iOS,Eddie,Collins
u28952,2020-02-06,True,,FRA       ,iOS,Benjamin,Chapman
u266,2015-08-08,True,,DEU       ,iOS,Amy,Vasquez
u10448,2018-09-21,True,,DEU       ,iOS,Nell,Morales
u4848,2017-11-28,False,2020-06-17,FRA       ,iOS,Jose,Chandler
u34921,2020-05-10,False,,GrE       ,android,Travis,Richardson
u16888,2019-04-09,True,,GrE       ,android,Winnie,Valdez
u33530,2020-04-27,True,,DEU       ,android,Ina,Rios
u33350,2020-04-25,False,,ITA       ,android,Nannie,Harper
u17870,2019-05-12,False,,GrE       ,iOS,Corey,Crawford
u3027,2017-05-22,False,,FRA       ,iOS,Alta,Holmes
u31176,2020-03-18,False,,GrE       ,android,Landon,Roberts
u7235,2018-05-14,True,,ITA       ,android,Chester,Richardson
u3777,2017-08-16,True,2020-08-14,DEU       ,android,Manuel,May
u3842,2017-08-22,True,,DEU       ,iOS,Elizabeth,Garcia
u35154,2020-05-12,False,,FRA       ,iOS,Ruby,Bowman
